TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,12,16,21.0,0.0,46XX CLARENDON ST,Renfrew-Collingwood,496110.24,5454546.43
Theft from Vehicle,2018,11,5,21.0,0.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,10,19,23.0,30.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,8,19,19.0,0.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,7,28,19.0,5.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,6,27,22.0,0.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,5,13,10.0,40.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,4,27,11.0,30.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,3,7,19.0,0.0,HOMER ST / W GEORGIA ST,Central Business District,491621.0,5458653.24
Theft from Vehicle,2018,7,5,0.0,0.0,46XX CULLODEN ST,Kensington-Cedar Cottage,494251.48,5454512.99
Theft from Vehicle,2018,9,19,20.0,30.0,46XX DRUMMOND DR,West Point Grey,484466.06,5457651.47
Theft of Bicycle,2018,6,10,21.0,0.0,PINE ST / W 7TH AVE,Fairview,489572.83,5456971.52
Mischief,2018,12,25,7.0,39.0,19XX QUEBEC ST,Mount Pleasant,492529.37,5457279.11
Mischief,2018,8,25,17.0,26.0,19XX QUEBEC ST,Mount Pleasant,492529.37,5457279.11
Mischief,2018,8,10,19.0,0.0,19XX QUEBEC ST,Mount Pleasant,492529.37,5457279.11
Mischief,2018,9,3,19.0,13.0,19XX QUEBEC ST,Mount Pleasant,492519.96,5457269.62
Theft of Bicycle,2018,8,3,10.0,20.0,PINE ST / W 4TH AVE,Fairview,489579.29,5457254.74
Break and Enter Residential/Other,2018,7,5,21.0,0.0,29XX ONTARIO ST,Mount Pleasant,492350.77,5456273.35
Break and Enter Residential/Other,2018,8,8,16.0,0.0,29XX ONTARIO ST,Mount Pleasant,492350.77,5456273.35
Mischief,2018,11,14,9.0,36.0,19XX POWELL ST,Grandview-Woodland,495319.2,5459127.41
Theft from Vehicle,2018,9,8,17.0,0.0,46XX FLEMING ST,Kensington-Cedar Cottage,494753.34,5454511.79
Mischief,2018,1,15,8.0,20.0,19XX POWELL ST,Grandview-Woodland,495284.49,5459118.02
Offence Against a Person,2018,6,19,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Commercial,2018,10,9,0.0,0.0,22XX HARRISON DR,Victoria-Fraserview,495535.45,5450662.05
Offence Against a Person,2018,3,31,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,4,28,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,10,10,20.0,0.0,46XX GOTHARD ST,Renfrew-Collingwood,496214.18,5454535.2
Mischief,2018,12,1,6.0,33.0,19XX POWELL ST,Grandview-Woodland,495239.71,5459126.85
Theft from Vehicle,2018,8,5,18.0,30.0,46XX JOHN ST,Riley Park,492908.93,5454497.0
Theft of Bicycle,2018,5,3,1.0,0.0,PACIFIC BLVD / QUEBEC ST,Central Business District,492526.25,5458182.77
Theft from Vehicle,2018,3,29,12.0,50.0,46XX NW MARINE DR,West Point Grey,484405.17,5458123.91
Theft of Bicycle,2018,8,9,11.0,9.0,ONTARIO ST / WALTER HARDWICK AVE,Mount Pleasant,492390.68,5457576.26
Theft of Bicycle,2018,2,9,14.0,0.0,ONTARIO ST / W 7TH AVE,Mount Pleasant,492373.86,5456884.39
Mischief,2018,2,15,18.0,30.0,19XX OGDEN AVE,Kitsilano,489254.79,5458237.29
Break and Enter Commercial,2018,1,7,4.0,34.0,22XX GRANVILLE ST,Fairview,489930.6,5457051.28
Break and Enter Residential/Other,2018,9,28,0.0,0.0,10XX PARK DR,Marpole,490518.98,5451314.84
Offence Against a Person,2018,10,21,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Commercial,2018,6,21,2.0,48.0,13XX NANAIMO ST,Hastings-Sunrise,495888.29,5457760.6
Theft of Bicycle,2018,3,4,0.0,0.0,ONTARIO ST / W 4TH AVE,Mount Pleasant,492381.63,5457184.58
Break and Enter Residential/Other,2018,6,15,11.0,0.0,29XX TRINITY ST,Hastings-Sunrise,496809.06,5459657.46
Theft from Vehicle,2018,11,29,18.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,5,31,4.0,30.0,46XX PINE CRES,Shaughnessy,489302.29,5454644.5
Theft from Vehicle,2018,11,23,21.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,11,3,23.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,10,14,14.0,20.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,9,23,12.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,3,15,12.0,0.0,46XX QUEBEC ST,Riley Park,492534.28,5454442.54
Offence Against a Person,2018,11,3,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,9,21,22.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,9,19,17.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,9,12,20.0,30.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,7,19,23.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,6,25,22.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,6,23,0.0,30.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,6,19,19.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,1,4,21.0,0.0,46XX RUPERT ST,Renfrew-Collingwood,497398.07,5454452.84
Theft from Vehicle,2018,5,20,19.0,0.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,4,18,17.0,45.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,3,29,22.0,45.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft of Bicycle,2018,6,15,18.0,0.0,ONTARIO ST / W 1ST AVE,Mount Pleasant,492388.73,5457494.52
Mischief,2018,5,15,19.0,0.0,19XX MCNICOLL AVE,Kitsilano,489207.16,5458169.61
Theft from Vehicle,2018,3,11,15.0,30.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,3,6,16.0,15.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,1,27,21.0,30.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,1,19,21.0,15.0,HOMER ST / W CORDOVA ST,Central Business District,492003.71,5459040.68
Theft from Vehicle,2018,6,28,10.0,0.0,46XX SIDNEY ST,Kensington-Cedar Cottage,495350.45,5454617.35
Theft from Vehicle,2018,1,16,2.0,0.0,46XX SIDNEY ST,Kensington-Cedar Cottage,495361.05,5454633.35
Theft from Vehicle,2018,1,17,12.0,0.0,46XX SIDNEY ST,Kensington-Cedar Cottage,495361.05,5454633.35
Break and Enter Residential/Other,2018,6,29,17.0,40.0,10XX QUEBEC ST,Central Business District,492586.94,5458039.39
Theft from Vehicle,2018,8,7,23.0,37.0,46XX SIMPSON AVE,West Point Grey,484590.3,5457969.87
Theft from Vehicle,2018,8,8,19.0,20.0,46XX SIMPSON AVE,West Point Grey,484590.3,5457969.87
Theft from Vehicle,2018,8,20,14.0,0.0,46XX SLOCAN ST,Renfrew-Collingwood,496291.46,5454498.95
Theft from Vehicle,2018,8,26,1.0,0.0,46XX SLOCAN ST,Renfrew-Collingwood,496297.08,5454490.59
Theft from Vehicle,2018,6,23,19.0,0.0,46XX ST CATHERINES ST,Kensington-Cedar Cottage,493737.34,5454430.49
Theft from Vehicle,2018,10,8,0.0,0.0,46XX ST CATHERINES ST,Kensington-Cedar Cottage,493737.34,5454430.49
Mischief,2018,7,7,18.0,0.0,19XX LAKEWOOD DR,Grandview-Woodland,495489.87,5457198.23
Theft from Vehicle,2018,12,29,23.0,0.0,46XX W 10TH AVE,West Point Grey,484387.89,5456812.76
Break and Enter Residential/Other,2018,3,30,9.0,49.0,29XX W 12TH AVE,Kitsilano,487488.88,5456529.5
Offence Against a Person,2018,1,23,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,12,8,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Offence Against a Person,2018,2,1,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,1,8,0.0,0.0,19XX HARRISON DR,Victoria-Fraserview,495156.3,5450868.34
Mischief,2018,12,31,13.0,15.0,19XX HARO ST,West End,489965.1,5459890.37
Mischief,2018,3,29,20.0,30.0,19XX HARO ST,West End,489965.1,5459890.37
Theft from Vehicle,2018,7,5,4.0,0.0,46XX W 11TH AVE,West Point Grey,484497.05,5456716.66
Theft from Vehicle,2018,8,2,15.0,0.0,46XX W 11TH AVE,West Point Grey,484557.87,5456706.87
Theft from Vehicle,2018,12,7,20.0,0.0,46XX W 12TH AVE,West Point Grey,484506.65,5456614.64
Mischief,2018,11,20,8.0,14.0,19XX GRAVELEY ST,Grandview-Woodland,495345.07,5457528.08
Theft from Vehicle,2018,5,16,20.0,0.0,46XX W 13TH AVE,West Point Grey,484435.47,5456516.83
Break and Enter Residential/Other,2018,7,18,20.0,30.0,29XX W 15TH AVE,Kitsilano,487475.97,5456235.94
Mischief,2018,11,6,17.0,30.0,19XX GRANDVIEW HWY N,Kensington-Cedar Cottage,495346.97,5456523.69
Theft from Vehicle,2018,12,18,19.0,0.0,HOMER ST / SMITHE ST,Central Business District,491384.77,5458415.9
Theft from Vehicle,2018,11,10,12.0,36.0,HOMER ST / SMITHE ST,Central Business District,491384.77,5458415.9
Theft from Vehicle,2018,10,26,18.0,0.0,HOMER ST / SMITHE ST,Central Business District,491384.77,5458415.9
Theft from Vehicle,2018,10,4,21.0,30.0,HOMER ST / SMITHE ST,Central Business District,491384.77,5458415.9
Mischief,2018,3,31,12.0,18.0,19XX GLEN DR,Strathcona,494074.73,5457338.01
Theft from Vehicle,2018,9,22,20.0,0.0,HOMER ST / SMITHE ST,Central Business District,491384.77,5458415.9
Theft from Vehicle,2018,10,8,17.0,0.0,46XX W 14TH AVE,West Point Grey,484363.41,5456418.1
Theft from Vehicle,2018,8,28,12.0,19.0,46XX W 15TH AVE,West Point Grey,484370.52,5456317.17
Theft of Bicycle,2018,7,6,22.0,30.0,MONTCALM ST / W 70TH AVE,Marpole,490085.22,5450650.16
Theft from Vehicle,2018,12,17,21.0,0.0,46XX W 15TH AVE,West Point Grey,484464.65,5456305.39
Break and Enter Residential/Other,2018,12,17,0.0,0.0,29XX W 19TH AVE,Arbutus Ridge,487453.89,5455872.05
Mischief,2018,3,8,16.0,10.0,19XX FERNDALE ST,Grandview-Woodland,495246.86,5458543.74
Theft from Vehicle,2018,8,20,18.0,15.0,46XX W 5TH AVE,West Point Grey,484366.58,5457301.0
Theft from Vehicle,2018,9,19,18.0,30.0,46XX W 6TH AVE,West Point Grey,484379.18,5457195.62
Theft from Vehicle,2018,4,27,18.0,0.0,46XX W 6TH AVE,West Point Grey,484417.28,5457194.67
Theft from Vehicle,2018,11,3,18.0,20.0,HOMER ST / ROBSON ST,Central Business District,491498.88,5458530.83
Theft from Vehicle,2018,6,24,23.0,0.0,46XX W 6TH AVE,West Point Grey,484463.85,5457193.5
Theft from Vehicle,2018,5,23,16.0,0.0,HOMER ST / ROBSON ST,Central Business District,491498.88,5458530.83
Theft of Bicycle,2018,8,18,23.0,0.0,MCGILL ST / N NANAIMO ST,Hastings-Sunrise,495887.57,5459518.69
Offence Against a Person,2018,1,26,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft of Bicycle,2018,11,9,15.0,0.0,MARSTRAND AVE / VINE ST,Kitsilano,488527.08,5456646.67
Break and Enter Residential/Other,2018,4,30,23.0,52.0,29XX W 22ND AVE,Arbutus Ridge,487447.21,5455579.05
Theft from Vehicle,2018,12,14,5.0,0.0,HOMER ST / PACIFIC ST,Central Business District,490842.18,5457816.52
Theft from Vehicle,2018,12,12,17.0,45.0,HOMER ST / PACIFIC ST,Central Business District,490842.18,5457816.52
Theft from Vehicle,2018,11,4,22.0,0.0,HOMER ST / PACIFIC ST,Central Business District,490842.18,5457816.52
Break and Enter Residential/Other,2018,11,13,22.0,0.0,29XX W 22ND AVE,Arbutus Ridge,487500.8,5455569.65
Theft from Vehicle,2018,8,6,6.0,0.0,46XX W 9TH AVE,West Point Grey,484393.87,5456910.23
Theft from Vehicle,2018,1,30,22.0,0.0,46XX W 9TH AVE,West Point Grey,484523.47,5456915.81
Offence Against a Person,2018,2,10,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,12,24,17.0,0.0,46XX W 9TH AVE,West Point Grey,484562.02,5456905.6
Theft from Vehicle,2018,11,10,21.0,30.0,HOMER ST / PACIFIC BLVD,Central Business District,490842.18,5457816.52
Theft from Vehicle,2018,8,29,22.0,0.0,HOMER ST / PACIFIC BLVD,Central Business District,490842.18,5457816.52
Theft of Bicycle,2018,8,15,17.0,45.0,MAPLE ST / W BROADWAY AVE,Kitsilano,489047.13,5456790.78
Theft of Bicycle,2018,8,13,13.0,0.0,MAPLE ST / W BROADWAY AVE,Kitsilano,489047.13,5456790.78
Theft from Vehicle,2018,12,1,21.0,50.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Theft from Vehicle,2018,10,28,21.0,30.0,47XX ARBUTUS ST,Arbutus Ridge,488839.14,5454564.81
Theft from Vehicle,2018,11,28,19.0,0.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Theft from Vehicle,2018,11,20,20.0,0.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Theft from Vehicle,2018,8,29,23.0,30.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Theft from Vehicle,2018,7,27,10.0,15.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Theft from Vehicle,2018,6,6,4.0,0.0,HOMER ST / NELSON ST,Central Business District,491264.91,5458294.9
Mischief,2018,11,23,11.0,37.0,19XX E HASTINGS ST,Grandview-Woodland,495234.98,5458714.95
Theft of Bicycle,2018,6,23,23.0,10.0,MAPLE ST / W BROADWAY AVE,Kitsilano,489047.13,5456790.78
Mischief,2018,6,18,19.0,0.0,19XX E GEORGIA ST,Grandview-Woodland,495320.67,5458394.59
Theft from Vehicle,2018,9,16,19.0,0.0,47XX ARGYLE ST,Kensington-Cedar Cottage,494854.27,5454465.7
Mischief,2018,2,25,21.0,30.0,19XX E BROADWAY AVE,Kensington-Cedar Cottage,495208.29,5456611.93
Mischief,2018,1,31,13.0,10.0,19XX E BROADWAY AVE,Grandview-Woodland,495216.59,5456620.94
Theft from Vehicle,2018,6,22,19.0,30.0,47XX BEATRICE ST,Kensington-Cedar Cottage,495155.57,5454452.71
Theft from Vehicle,2018,9,14,11.0,40.0,47XX BELMONT AVE,West Point Grey,484350.27,5457911.87
Theft from Vehicle,2018,8,12,18.0,30.0,47XX BLENHEIM ST,Dunbar-Southlands,486992.81,5454580.33
Theft from Vehicle,2018,5,2,11.0,30.0,47XX BLENHEIM ST,Dunbar-Southlands,487002.53,5454600.61
Theft of Bicycle,2018,7,25,18.0,0.0,MAPLE ST / W 2ND AVE,Kitsilano,489062.36,5457466.89
Theft from Vehicle,2018,5,8,21.0,0.0,HIGHBURY ST / W BROADWAY AVE,West Point Grey,486337.83,5456862.59
Mischief,2018,1,22,15.0,0.0,19XX E 8TH AVE,Grandview-Woodland,495248.04,5456725.8
Theft from Vehicle,2018,7,10,10.0,0.0,47XX CAMBIE ST,South Cambie,491374.55,5454434.21
Mischief,2018,3,7,17.0,0.0,19XX E 7TH AVE,Grandview-Woodland,495212.06,5456818.3
Theft from Vehicle,2018,12,30,19.0,30.0,47XX CAMBIE ST,Riley Park,491429.58,5454492.53
Break and Enter Residential/Other,2018,6,26,12.0,24.0,29XX W 30TH AVE,Dunbar-Southlands,487517.23,5454720.2
Theft from Vehicle,2018,5,16,9.0,0.0,47XX COLLINGWOOD ST,Dunbar-Southlands,486760.9,5454622.23
Theft from Vehicle,2018,9,10,15.0,44.0,47XX COMMERCIAL ST,Kensington-Cedar Cottage,495044.54,5454393.51
Mischief,2018,1,30,0.0,23.0,19XX E 51ST AVE,Victoria-Fraserview,495090.14,5452293.8
Theft from Vehicle,2018,7,22,0.0,30.0,HIGHBURY ST / W 3RD AVE,West Point Grey,486353.63,5457438.84
Mischief,2018,4,8,18.0,0.0,19XX E 4TH AVE,Grandview-Woodland,495280.67,5457117.78
Theft of Bicycle,2018,8,11,19.0,0.0,MANITOBA ST / W BROADWAY AVE,Mount Pleasant,492227.29,5456703.84
Theft from Vehicle,2018,11,13,17.0,30.0,47XX DUNBAR ST,Dunbar-Southlands,486512.44,5454577.76
Theft from Vehicle,2018,11,28,21.0,0.0,HIGHBURY ST / W 19TH AVE,Dunbar-Southlands,486317.85,5455883.85
Theft from Vehicle,2018,7,28,18.0,0.0,HIGHBURY ST / W 15TH AVE,West Point Grey,486322.45,5456260.79
Theft from Vehicle,2018,10,21,7.0,30.0,HIGHBURY ST / W 11TH AVE,West Point Grey,486332.7,5456662.93
Theft from Vehicle,2018,10,5,0.0,0.0,HIGHBURY ST / W 11TH AVE,West Point Grey,486332.7,5456662.93
Theft from Vehicle,2018,12,13,19.0,30.0,47XX DUNBAR ST,Dunbar-Southlands,486512.44,5454577.76
Break and Enter Residential/Other,2018,11,10,21.0,18.0,29XX W 33RD AVE,Dunbar-Southlands,487526.48,5454414.3
Theft from Vehicle,2018,2,9,20.0,0.0,HIGHBURY ST / W 10TH AVE,West Point Grey,486335.39,5456769.17
Break and Enter Residential/Other,2018,6,19,19.0,0.0,29XX W 33RD AVE,Dunbar-Southlands,487573.12,5454414.24
Break and Enter Residential/Other,2018,6,19,23.0,30.0,29XX W 34TH AVE,Dunbar-Southlands,487452.24,5454297.31
Theft from Vehicle,2018,6,14,15.0,0.0,47XX FAIRMONT ST,Renfrew-Collingwood,496931.94,5454334.05
Theft from Vehicle,2018,5,30,17.0,0.0,47XX FAIRMONT ST,Renfrew-Collingwood,496954.79,5454352.93
Theft of Bicycle,2018,3,10,14.0,30.0,MANITOBA ST / W 2ND AVE,Mount Pleasant,492243.14,5457396.25
Theft from Vehicle,2018,5,23,16.0,30.0,HEMLOCK ST / W BROADWAY AVE,Fairview,490098.75,5456764.08
Theft from Vehicle,2018,1,22,2.0,30.0,HEMLOCK ST / W BROADWAY AVE,Fairview,490098.75,5456764.08
Theft from Vehicle,2018,1,12,22.0,20.0,47XX FLEMING ST,Kensington-Cedar Cottage,494751.81,5454420.17
Theft from Vehicle,2018,10,10,11.0,15.0,HEMLOCK ST / W 8TH AVE,Fairview,490099.49,5456864.59
Theft from Vehicle,2018,5,19,18.0,15.0,HEMLOCK ST / W 8TH AVE,Fairview,490099.49,5456864.59
Theft from Vehicle,2018,2,18,9.0,0.0,HEMLOCK ST / W 8TH AVE,Fairview,490099.49,5456864.59
Theft from Vehicle,2018,1,10,8.0,30.0,47XX GOTHARD ST,Renfrew-Collingwood,496125.3,5454413.01
Theft from Vehicle,2018,8,15,22.0,30.0,HEMLOCK ST / W 7TH AVE,Fairview,490100.73,5456957.77
Mischief,2018,1,3,13.0,0.0,19XX E 37TH AVE,Kensington-Cedar Cottage,495222.72,5453765.34
Break and Enter Residential/Other,2018,5,10,8.0,16.0,29XX W 36TH AVE,Dunbar-Southlands,487443.81,5454095.44
Break and Enter Residential/Other,2018,12,8,22.0,5.0,10XX SEYMOUR ST,Central Business District,491035.15,5458335.94
Theft from Vehicle,2018,6,9,16.0,0.0,47XX LANARK ST,Kensington-Cedar Cottage,494557.38,5454471.74
Mischief,2018,4,4,21.0,45.0,19XX E 2ND AVE,Grandview-Woodland,495340.88,5457328.12
Theft from Vehicle,2018,3,14,20.0,0.0,47XX LITTLE ST,Kensington-Cedar Cottage,495347.25,5454443.96
Theft from Vehicle,2018,8,3,22.0,0.0,47XX LITTLE ST,Kensington-Cedar Cottage,495347.25,5454443.96
Theft from Vehicle,2018,8,10,20.0,0.0,47XX MAIN ST,Riley Park,492614.94,5454422.93
Offence Against a Person,2018,12,10,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Residential/Other,2018,4,19,20.0,47.0,10XX SEYMOUR ST,Central Business District,491083.06,5458397.69
Theft from Vehicle,2018,1,5,23.0,0.0,47XX MARGUERITE ST,Shaughnessy,489537.89,5454499.3
Mischief,2018,1,25,17.0,44.0,19XX E 1ST AVE,Grandview-Woodland,495219.77,5457419.78
Theft from Vehicle,2018,10,18,23.0,0.0,47XX MCHARDY ST,Renfrew-Collingwood,497672.34,5454381.25
Theft from Vehicle,2018,4,10,21.0,0.0,47XX MOSS ST,Renfrew-Collingwood,496877.1,5454397.65
Theft from Vehicle,2018,8,13,17.0,0.0,47XX MOSS ST,Renfrew-Collingwood,496879.81,5454384.82
Mischief,2018,9,28,21.0,5.0,19XX E 12TH AVE,Kensington-Cedar Cottage,495202.81,5456305.87
Theft of Bicycle,2018,9,18,19.0,0.0,MANITOBA ST / W 1ST AVE,Mount Pleasant,492242.37,5457496.42
Break and Enter Residential/Other,2018,1,11,8.0,0.0,29XX W 37TH AVE,Dunbar-Southlands,487573.72,5453991.68
Theft from Vehicle,2018,5,8,19.0,30.0,11XX KASLO ST,Hastings-Sunrise,496586.57,5457989.32
Break and Enter Commercial,2018,7,14,8.0,15.0,11XX CLARK DR,Strathcona,494372.85,5458011.85
Offence Against a Person,2018,5,9,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,8,16,15.0,0.0,19XX DUNBAR ST,Kitsilano,486648.01,5457429.55
Break and Enter Residential/Other,2018,7,26,2.0,27.0,29XX W 38TH AVE,Dunbar-Southlands,487588.64,5453884.34
Theft from Vehicle,2018,7,28,12.0,0.0,47XX NW MARINE DR,West Point Grey,484307.34,5458179.08
Theft from Vehicle,2018,7,28,14.0,0.0,47XX NW MARINE DR,West Point Grey,484307.34,5458179.08
Theft from Vehicle,2018,11,14,14.0,30.0,47XX NW MARINE DR,West Point Grey,484307.34,5458179.08
Theft from Vehicle,2018,2,6,16.0,0.0,47XX OSLER ST,Shaughnessy,490539.13,5454507.09
Theft from Vehicle,2018,1,22,5.0,9.0,11XX KEEFER ST,Strathcona,494088.82,5458483.96
Break and Enter Residential/Other,2018,5,31,23.0,55.0,10XX SLOCAN ST,Hastings-Sunrise,496404.32,5458094.62
Break and Enter Residential/Other,2018,10,27,18.0,0.0,29XX W 3RD AVE,Kitsilano,487495.9,5457403.54
Mischief,2018,7,7,10.0,42.0,19XX CORNWALL AVE,Kitsilano,489246.75,5457752.31
Mischief,2018,4,17,0.0,10.0,19XX CORNWALL AVE,Kitsilano,489246.75,5457752.31
Theft from Vehicle,2018,12,14,0.0,0.0,47XX PRINCE EDWARD ST,Riley Park,492951.12,5454442.39
Theft from Vehicle,2018,12,29,21.0,30.0,47XX PRINCE EDWARD ST,Riley Park,492951.12,5454442.39
Theft from Vehicle,2018,8,15,12.0,0.0,47XX QUEBEC ST,Riley Park,492524.31,5454415.47
Theft from Vehicle,2018,10,20,20.0,0.0,47XX QUEBEC ST,Riley Park,492524.31,5454415.47
Offence Against a Person,2018,2,6,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Residential/Other,2018,1,28,9.0,54.0,29XX W 40TH AVE,Dunbar-Southlands,487443.09,5453675.36
Mischief,2018,10,6,4.0,45.0,19XX CORNWALL AVE,Kitsilano,489077.45,5457765.83
Mischief,2018,12,15,17.0,0.0,19XX COMOX ST,West End,489721.25,5459669.78
Theft of Bicycle,2018,5,5,20.0,0.0,MAINLAND ST / NELSON ST,Central Business District,491346.29,5458214.85
Theft of Bicycle,2018,12,13,14.0,30.0,MAIN ST / UNION ST,Central Business District,492733.66,5458331.8
Theft of Bicycle,2018,8,1,22.0,10.0,MAIN ST / UNION ST,Central Business District,492733.66,5458331.8
Theft of Bicycle,2018,7,5,19.0,0.0,MAIN ST / UNION ST,Central Business District,492733.66,5458331.8
Mischief,2018,2,20,17.0,41.0,19XX COMOX ST,West End,489698.53,5459692.0
Theft from Vehicle,2018,7,18,22.0,0.0,47XX REID ST,Renfrew-Collingwood,497271.04,5454400.75
Offence Against a Person,2018,8,28,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,5,9,5.0,59.0,47XX SELKIRK ST,Shaughnessy,490314.63,5454461.59
Offence Against a Person,2018,4,25,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Commercial,2018,3,15,19.0,30.0,11XX COMMERCIAL DR,Grandview-Woodland,494945.39,5457966.35
Offence Against a Person,2018,6,4,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,11,10,12.0,0.0,47XX VALLEY DR,Arbutus Ridge,489031.81,5454525.24
Theft from Vehicle,2018,8,24,15.0,0.0,47XX VICTORIA DR,Kensington-Cedar Cottage,495243.0,5454356.26
Theft from Vehicle,2018,10,22,13.0,0.0,47XX VICTORIA DR,Kensington-Cedar Cottage,495251.52,5454322.73
Theft from Vehicle,2018,12,23,14.0,30.0,47XX VICTORIA DR,Kensington-Cedar Cottage,495253.87,5454447.82
Theft from Vehicle,2018,1,4,18.0,0.0,47XX WALLACE ST,Dunbar-Southlands,486109.54,5454628.67
Theft from Vehicle,2018,12,19,3.0,5.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,10,1,9.0,0.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,9,24,9.0,30.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,9,5,13.0,0.0,48XX ANGUS DR,Shaughnessy,489412.98,5454453.89
Theft from Vehicle,2018,9,21,11.0,0.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,9,10,12.0,30.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,7,31,4.0,35.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,5,15,4.0,0.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,4,5,20.0,0.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,2,26,15.0,30.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft from Vehicle,2018,1,6,22.0,15.0,HELMCKEN ST / SEYMOUR ST,Central Business District,491008.9,5458315.77
Theft of Bicycle,2018,11,2,14.0,50.0,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.25,5457784.58
